"Anschluss-Art";"Bemerkung";"Schüler_ID";"Schüler-Klasse";"Schüler-Nachname";"Schüler-Vorname";"Telefon-Nummer"
"privat";"Mutter";1001;"BK01A";"Sampleberg";"Viktor";"0123-1102002"
"privat";"Vater";1001;"BK01A";"Sampleberg";"Viktor";"0123-1102003"
"privat";"Mutter";1002;"BK01A";"Demoschüler";"Felix";"0123-1102004"
"privat";"Vater";1002;"BK01A";"Demoschüler";"Felix";"0123-1102005"
"privat";"Mutter";1003;"BK01A";"Probeberg";"Charlotte";"0123-1102006"
"privat";"Vater";1003;"BK01A";"Probeberg";"Charlotte";"0123-1102007"
"privat";"Mutter";1004;"BK01A";"Musterstein";"Bella";"0123-1102008"
"privat";"Vater";1004;"BK01A";"Musterstein";"Bella";"0123-1102009"
"privat";"Mutter";1005;"BK01A";"Sampleberg";"Diana";"0123-1102010"
"privat";"Vater";1005;"BK01A";"Sampleberg";"Diana";"0123-1102011"
"privat";"Mutter";1006;"BK01A";"Musterstein";"David";"0123-1102012"
"privat";"Mutter";1007;"BK01A";"Musterstein";"Johanna";"0123-1102014"
"privat";"Vater";1007;"BK01A";"Musterstein";"Johanna";"0123-1102015"
"privat";"Mutter";1008;"BK01A";"Testmeier";"Tim";"0123-1102016"
"privat";"Vater";1008;"BK01A";"Testmeier";"Tim";"0123-1102017"
"privat";"Mutter";1009;"BK01A";"Sampleberg";"Inga";"0123-1102018"
"privat";"Vater";1009;"BK01A";"Sampleberg";"Inga";"0123-1102019"
"privat";"Mutter";1010;"BK01A";"Demo";"Hanna";"0123-1102020"
"privat";"Vater";1010;"BK01A";"Demo";"Hanna";"0123-1102021"
"privat";"Mutter";1011;"BK01A";"Probstmeier";"Julia";"0123-1102022"
"privat";"Vater";1011;"BK01A";"Probstmeier";"Julia";"0123-1102023"
"privat";"Mutter";1012;"BK01A";"Beispielson";"Zoe";"0123-1102024"
"privat";"Vater";1012;"BK01A";"Beispielson";"Zoe";"0123-1102025"
"privat";"Mutter";1013;"BK01A";"Musterhuber";"Ingo";"0123-1102026"
"privat";"Vater";1013;"BK01A";"Musterhuber";"Ingo";"0123-1102027"
"privat";"Mutter";1014;"BK01A";"Beispiel";"Andreas";"0123-1102028"
"privat";"Vater";1014;"BK01A";"Beispiel";"Andreas";"0123-1102029"
"privat";"Mutter";1015;"BK01A";"Probstmeier";"Vera";"0123-1102030"
"privat";"Vater";1015;"BK01A";"Probstmeier";"Vera";"0123-1102031"
"privat";"Mutter";1016;"BK01A";"Demonstrant";"Olga";"0123-1102032"
"privat";"Vater";1016;"BK01A";"Demonstrant";"Olga";"0123-1102033"
"privat";"Mutter";1017;"BK01B";"Musterstein";"Georg";"0123-1102034"
"privat";"Vater";1017;"BK01B";"Musterstein";"Georg";"0123-1102035"
"privat";"Mutter";1018;"BK01B";"Testmeier";"Andreas";"0123-1102036"
"privat";"Mutter";1019;"BK01B";"Musterhuber";"Elena";"0123-1102038"
"privat";"Vater";1019;"BK01B";"Musterhuber";"Elena";"0123-1102039"
"privat";"Mutter";1020;"BK01B";"Beispiel";"Otto";"0123-1102040"
"privat";"Vater";1020;"BK01B";"Beispiel";"Otto";"0123-1102041"
"privat";"Mutter";1021;"BK01B";"Musterbach";"Hans";"0123-1102042"
"privat";"Vater";1021;"BK01B";"Musterbach";"Hans";"0123-1102043"
"privat";"Mutter";1022;"BK01B";"Musterling";"Greta";"0123-1102044"
"privat";"Vater";1022;"BK01B";"Musterling";"Greta";"0123-1102045"
"privat";"Mutter";1023;"BK01B";"Probemann";"Tim";"0123-1102046"
"privat";"Vater";1023;"BK01B";"Probemann";"Tim";"0123-1102047"
"privat";"Mutter";1024;"BK01B";"Demoschüler";"Ulf";"0123-1102048"
"privat";"Vater";1024;"BK01B";"Demoschüler";"Ulf";"0123-1102049"
"privat";"Mutter";1025;"BK01B";"Musterbach";"Wilma";"0123-1102050"
"privat";"Vater";1025;"BK01B";"Musterbach";"Wilma";"0123-1102051"
"privat";"Mutter";1026;"BK01B";"Probeberg";"Dora";"0123-1102052"
"privat";"Vater";1026;"BK01B";"Probeberg";"Dora";"0123-1102053"
"privat";"Mutter";1027;"BK01B";"Probierdorf";"Bella";"0123-1102054"
"privat";"Vater";1027;"BK01B";"Probierdorf";"Bella";"0123-1102055"
"privat";"Mutter";1028;"BK01B";"Beispiel";"Vera";"0123-1102056"
"privat";"Mutter";1029;"BK01B";"Probierdorf";"Leo";"0123-1102058"
"privat";"Vater";1029;"BK01B";"Probierdorf";"Leo";"0123-1102059"
"privat";"Mutter";1030;"BK01B";"Demohaus";"Sophie";"0123-1102060"
"privat";"Vater";1030;"BK01B";"Demohaus";"Sophie";"0123-1102061"
"privat";"Mutter";1031;"BK02A";"Demonstrant";"Dora";"0123-1102062"
"privat";"Vater";1031;"BK02A";"Demonstrant";"Dora";"0123-1102063"
"privat";"Mutter";1032;"BK02A";"Probemann";"Simon";"0123-1102064"
"privat";"Vater";1032;"BK02A";"Probemann";"Simon";"0123-1102065"
"privat";"Mutter";1033;"BK02A";"Demohaus";"Julia";"0123-1102066"
"privat";"Mutter";1034;"BK02A";"Musterstein";"Ida";"0123-1102068"
"privat";"Mutter";1035;"BK02A";"Demoschüler";"Ingo";"0123-1102070"
"privat";"Mutter";1036;"BK02A";"Musterhuber";"Kai";"0123-1102072"
"privat";"Vater";1036;"BK02A";"Musterhuber";"Kai";"0123-1102073"
"privat";"Mutter";1037;"BK02A";"Probierdorf";"Zoe";"0123-1102074"
"privat";"Mutter";1038;"BK02A";"Probst";"Zeno";"0123-1102076"
"privat";"Mutter";1039;"BK02A";"Testmeier";"Andreas";"0123-1102078"
"privat";"Mutter";1040;"BK02A";"Testheim";"Inga";"0123-1102080"
"privat";"Vater";1040;"BK02A";"Testheim";"Inga";"0123-1102081"
"privat";"Mutter";1041;"BK02A";"Probierdorf";"Marie";"0123-1102082"
"privat";"Vater";1041;"BK02A";"Probierdorf";"Marie";"0123-1102083"
"privat";"Mutter";1042;"BK02A";"Musterling";"Zoe";"0123-1102084"
"privat";"Vater";1042;"BK02A";"Musterling";"Zoe";"0123-1102085"
"privat";"Mutter";1043;"BK02A";"Beispielson";"Rita";"0123-1102086"
"privat";"Vater";1043;"BK02A";"Beispielson";"Rita";"0123-1102087"
"privat";"Mutter";1044;"BK02A";"Beispiel";"Diana";"0123-1102088"
"privat";"Vater";1044;"BK02A";"Beispiel";"Diana";"0123-1102089"
"privat";"Mutter";1045;"BK02A";"Beispielberg";"Zoe";"0123-1102090"
"privat";"Vater";1045;"BK02A";"Beispielberg";"Zoe";"0123-1102091"
"privat";"Mutter";1046;"BK02B";"Demohaus";"Johanna";"0123-1102092"
"privat";"Vater";1046;"BK02B";"Demohaus";"Johanna";"0123-1102093"
"privat";"Mutter";1047;"BK02B";"Sampleberg";"Frank";"0123-1102094"
"privat";"Vater";1047;"BK02B";"Sampleberg";"Frank";"0123-1102095"
"privat";"Mutter";1048;"BK02B";"Musterbach";"Nele";"0123-1102096"
"privat";"Vater";1048;"BK02B";"Musterbach";"Nele";"0123-1102097"
"privat";"Mutter";1049;"BK02B";"Musterling";"Simon";"0123-1102098"
"privat";"Vater";1049;"BK02B";"Musterling";"Simon";"0123-1102099"
"privat";"Mutter";1050;"BK02B";"Demohaus";"Rita";"0123-1102100"
"privat";"Mutter";1051;"BK02B";"Demosohn";"Mara";"0123-1102102"
"privat";"Mutter";1052;"BK02B";"Musterbach";"Johanna";"0123-1102104"
"privat";"Vater";1052;"BK02B";"Musterbach";"Johanna";"0123-1102105"
"privat";"Mutter";1053;"BK02B";"Sampleberg";"Robert";"0123-1102106"
"privat";"Vater";1053;"BK02B";"Sampleberg";"Robert";"0123-1102107"
"privat";"Mutter";1054;"BK02B";"Sample";"Ingo";"0123-1102108"
"privat";"Vater";1054;"BK02B";"Sample";"Ingo";"0123-1102109"
"privat";"Mutter";1055;"BK02B";"Musterbach";"Jonas";"0123-1102110"
"privat";"Vater";1055;"BK02B";"Musterbach";"Jonas";"0123-1102111"
"privat";"Mutter";1056;"BK02B";"Testmeier";"Ivo";"0123-1102112"
"privat";"Vater";1056;"BK02B";"Testmeier";"Ivo";"0123-1102113"
"privat";"Mutter";1057;"BK02B";"Beispiel";"Sophie";"0123-1102114"
"privat";"Vater";1057;"BK02B";"Beispiel";"Sophie";"0123-1102115"
"privat";"Mutter";1058;"BK02B";"Beispiel";"Georg";"0123-1102116"
"privat";"Vater";1058;"BK02B";"Beispiel";"Georg";"0123-1102117"
"privat";"Mutter";1059;"BK02B";"Demonstrant";"Dieter";"0123-1102118"
"privat";"Vater";1059;"BK02B";"Demonstrant";"Dieter";"0123-1102119"
"privat";"Mutter";1060;"BK02B";"Musterstein";"Amelie";"0123-1102120"
"privat";"Vater";1060;"BK02B";"Musterstein";"Amelie";"0123-1102121"
