"Allg. Adresse: Betreuer Anrede";"Allg. Adresse: Betreuer Vorname";"Allg. Adresse: Betreuer Name";"Allg. Adresse: Betreuer E-Mail";"Allg. Adresse: Betreuer Telefon";"Allg. Adresse: Betreuer Abteilung";"Allg. Adresse: Betreuer Titel";"Allg. Adresse: Name1";"Allg. Adresse: Fax-Nr.";"Allg. Adresse: Vertragsbeginn";"Allg. Adresse: Vertragsende";"Interne ID-Nummer";"Nachname";"Vorname";"Klasse"
"Herr";"Klaus";"Demoster";"klaus.demoster@firma.example";"0123-9000003";"Lehrwerkstatt";;"Demo-Werke GmbH";;01.08.2024;31.07.2027;1001;"Sampleberg";"Viktor";"BK01A"
"Herr";"Ralf";"Rollberg";"r.rollberg@firma.example";"0123-9000012";"Disposition";;"Demo Spedition GmbH";;01.08.2024;31.07.2027;1002;"Demoschüler";"Felix";"BK01A"
"Frau";"Petra";"Probemann";"p.probemann@firma.example";"0123-9000011";"Ausbildung";;"Probierwerk Süd";;01.08.2024;31.07.2027;1003;"Probeberg";"Charlotte";"BK01A"
"Herr";"Tobias";"Techberg";"t.techberg@firma.example";"0123-9000010";"Personal";;"Beispiel Tech AG";;01.08.2024;31.07.2027;1004;"Musterstein";"Bella";"BK01A"
"Herr";"Tobias";"Techberg";"t.techberg@firma.example";"0123-9000010";"Personal";;"Beispiel Tech AG";;01.08.2024;31.07.2027;1005;"Sampleberg";"Diana";"BK01A"
"Herr";"Sven";"Software";"s.software@firma.example";"0123-9000008";"HR";;"Demo IT-Services";;01.08.2024;31.07.2027;1006;"Musterstein";"David";"BK01A"
"Herr";"Hans";"Probier";"h.probier@firma.example";"0123-9000005";"Geschäftsführung";;"Probe & Söhne KG";;01.08.2024;31.07.2027;1007;"Musterstein";"Johanna";"BK01A"
"Herr";"Sven";"Software";"s.software@firma.example";"0123-9000008";"HR";;"Demo IT-Services";;01.08.2024;31.07.2027;1008;"Testmeier";"Tim";"BK01A"
"Frau";"Lisa";"Lieferman";"l.lieferman@firma.example";"0123-9000009";"Personal";;"Mustermann Logistik";;01.08.2024;31.07.2027;1009;"Sampleberg";"Inga";"BK01A"
"Herr";"Stefan";"Schmitz";"s.schmitz@firma.example";"0123-9000002";"Personal";;"Beispiel AG";;01.08.2024;31.07.2027;1010;"Demo";"Hanna";"BK01A"
"Frau";"Petra";"Mustermann";"petra.mustermann@firma.example";"0123-9000001";"Ausbildung";;"Mustermann GmbH";;01.08.2024;31.07.2027;1011;"Probstmeier";"Julia";"BK01A"
"Frau";"Tanja";"Tester";"t.tester@firma.example";"0123-9000006";"HR";;"Test-Industrie eG";;01.08.2024;31.07.2027;1012;"Beispielson";"Zoe";"BK01A"
"Frau";"Tanja";"Tester";"t.tester@firma.example";"0123-9000006";"HR";;"Test-Industrie eG";;01.08.2024;31.07.2027;1013;"Musterhuber";"Ingo";"BK01A"
"Frau";"Tanja";"Tester";"t.tester@firma.example";"0123-9000006";"HR";;"Test-Industrie eG";;01.08.2024;31.07.2027;1014;"Beispiel";"Andreas";"BK01A"
"Frau";"Sabine";"Sampleberg";"s.sampleberg@firma.example";"0123-9000004";"Spedition";;"Sample Logistics";;01.08.2024;31.07.2027;1015;"Probstmeier";"Vera";"BK01A"
"Herr";"Hans";"Probier";"h.probier@firma.example";"0123-9000005";"Geschäftsführung";;"Probe & Söhne KG";;01.08.2024;31.07.2027;1016;"Demonstrant";"Olga";"BK01A"
"Frau";"Petra";"Probemann";"p.probemann@firma.example";"0123-9000011";"Ausbildung";;"Probierwerk Süd";;01.08.2024;31.07.2027;1017;"Musterstein";"Georg";"BK01B"
"Herr";"Hans";"Probier";"h.probier@firma.example";"0123-9000005";"Geschäftsführung";;"Probe & Söhne KG";;01.08.2024;31.07.2027;1018;"Testmeier";"Andreas";"BK01B"
"Frau";"Petra";"Probemann";"p.probemann@firma.example";"0123-9000011";"Ausbildung";;"Probierwerk Süd";;01.08.2024;31.07.2027;1019;"Musterhuber";"Elena";"BK01B"
"Herr";"Sven";"Software";"s.software@firma.example";"0123-9000008";"HR";;"Demo IT-Services";;01.08.2024;31.07.2027;1020;"Beispiel";"Otto";"BK01B"
"Frau";"Petra";"Mustermann";"petra.mustermann@firma.example";"0123-9000001";"Ausbildung";;"Mustermann GmbH";;01.08.2024;31.07.2027;1021;"Musterbach";"Hans";"BK01B"
"Herr";"Klaus";"Demoster";"klaus.demoster@firma.example";"0123-9000003";"Lehrwerkstatt";;"Demo-Werke GmbH";;01.08.2024;31.07.2027;1022;"Musterling";"Greta";"BK01B"
"Herr";"Klaus";"Demoster";"klaus.demoster@firma.example";"0123-9000003";"Lehrwerkstatt";;"Demo-Werke GmbH";;01.08.2024;31.07.2027;1023;"Probemann";"Tim";"BK01B"
"Herr";"Klaus";"Demoster";"klaus.demoster@firma.example";"0123-9000003";"Lehrwerkstatt";;"Demo-Werke GmbH";;01.08.2024;31.07.2027;1025;"Musterbach";"Wilma";"BK01B"
"Herr";"Hans";"Probier";"h.probier@firma.example";"0123-9000005";"Geschäftsführung";;"Probe & Söhne KG";;01.08.2024;31.07.2027;1026;"Probeberg";"Dora";"BK01B"
"Frau";"Tanja";"Tester";"t.tester@firma.example";"0123-9000006";"HR";;"Test-Industrie eG";;01.08.2024;31.07.2027;1027;"Probierdorf";"Bella";"BK01B"
