"Interne ID-Nummer";"Erzieher 1: Anrede";"Erzieher 1: Briefanrede";"Erzieher 1: Titel";"Erzieher 1: Nachname";"Erzieher 1: Vorname";"Erzieher 1: E-Mail";"Erzieher 2: Anrede";"Erzieher 2: Briefanrede";"Erzieher 2: Titel";"Erzieher 2: Nachname";"Erzieher 2: Vorname";"Erzieher 2: E-Mail";"Erzieher: Art (Import/Export-Bez.)";"Erzieher: Art (Klartext)";"Erzieher: Erhält Anschreiben";"Erzieher: Ort";"Erzieher: Ortsteil";"Erzieher: Postleitzahl";"Erzieher: Straße";"Telefon-Nummern: Anschluss-Art";"Telefon-Nummern: Bemerkung";"Telefon-Nummern: Telefon-Nummer";"Telefon-Nr."
1001;"Frau";"Sehr geehrte/r Frau Sampleberg";;"Sampleberg";"Renate";"renate.sampleberg@example.com";"Herr";"Sehr geehrte/r Herr Sampleberg";;"Sampleberg";"Thomas";"thomas.sampleberg@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Samplebergstraße 1";"privat";"Mutter";"0123-1102002";"0123-1102002"
1002;"Frau";"Sehr geehrte/r Frau Demoschüler";;"Demoschüler";"Martina";"martina.demoschueler@example.com";"Herr";"Sehr geehrte/r Herr Demoschüler";;"Demoschüler";"Ingo";"ingo.demoschueler@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demoschülerstraße 1";"privat";"Mutter";"0123-1102004";"0123-1102004"
1003;"Frau";"Sehr geehrte/r Frau Probeberg";;"Probeberg";"Jutta";"jutta.probeberg@example.com";"Herr";"Sehr geehrte/r Herr Probeberg";;"Probeberg";"Olaf";"olaf.probeberg@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probebergstraße 1";"privat";"Mutter";"0123-1102006";"0123-1102006"
1004;"Frau";"Sehr geehrte/r Frau Musterstein";;"Musterstein";"Doris";"doris.musterstein@example.com";"Herr";"Sehr geehrte/r Herr Musterstein";;"Musterstein";"Norbert";"norbert.musterstein@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Mustersteinstraße 1";"privat";"Mutter";"0123-1102008";"0123-1102008"
1005;"Frau";"Sehr geehrte/r Frau Sampleberg";;"Sampleberg";"Anna";"anna.sampleberg@example.com";"Herr";"Sehr geehrte/r Herr Sampleberg";;"Sampleberg";"Thomas";"thomas.sampleberg@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Samplebergstraße 1";"privat";"Mutter";"0123-1102010";"0123-1102010"
1006;"Frau";"Sehr geehrte/r Frau Musterstein";;"Musterstein";"Hilde";"hilde.musterstein@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Mustersteinstraße 1";"privat";"Mutter";"0123-1102012";"0123-1102012"
1007;"Frau";"Sehr geehrte/r Frau Musterstein";;"Musterstein";"Sabine";"sabine.musterstein@example.com";"Herr";"Sehr geehrte/r Herr Musterstein";;"Musterstein";"Peter";"peter.musterstein@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Mustersteinstraße 1";"privat";"Mutter";"0123-1102014";"0123-1102014"
1008;"Frau";"Sehr geehrte/r Frau Testmeier";;"Testmeier";"Lisa";"lisa.testmeier@example.com";"Herr";"Sehr geehrte/r Herr Testmeier";;"Testmeier";"Gerd";"gerd.testmeier@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Testmeierstraße 1";"privat";"Mutter";"0123-1102016";"0123-1102016"
1009;"Frau";"Sehr geehrte/r Frau Sampleberg";;"Sampleberg";"Doris";"doris.sampleberg@example.com";"Herr";"Sehr geehrte/r Herr Sampleberg";;"Sampleberg";"Olaf";"olaf.sampleberg@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Samplebergstraße 1";"privat";"Mutter";"0123-1102018";"0123-1102018"
1010;"Frau";"Sehr geehrte/r Frau Demo";;"Demo";"Renate";"renate.demo@example.com";"Herr";"Sehr geehrte/r Herr Demo";;"Demo";"Lutz";"lutz.demo@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demostraße 1";"privat";"Mutter";"0123-1102020";"0123-1102020"
1011;"Frau";"Sehr geehrte/r Frau Probstmeier";;"Probstmeier";"Hilde";"hilde.probstmeier@example.com";"Herr";"Sehr geehrte/r Herr Probstmeier";;"Probstmeier";"Dirk";"dirk.probstmeier@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probstmeierstraße 1";"privat";"Mutter";"0123-1102022";"0123-1102022"
1012;"Frau";"Sehr geehrte/r Frau Beispielson";;"Beispielson";"Elke";"elke.beispielson@example.com";"Herr";"Sehr geehrte/r Herr Beispielson";;"Beispielson";"Stefan";"stefan.beispielson@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Beispielsonstraße 1";"privat";"Mutter";"0123-1102024";"0123-1102024"
1013;"Frau";"Sehr geehrte/r Frau Musterhuber";;"Musterhuber";"Nicole";"nicole.musterhuber@example.com";"Herr";"Sehr geehrte/r Herr Musterhuber";;"Musterhuber";"Manfred";"manfred.musterhuber@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterhuberstraße 1";"privat";"Mutter";"0123-1102026";"0123-1102026"
1014;"Frau";"Sehr geehrte/r Frau Beispiel";;"Beispiel";"Anna";"anna.beispiel@example.com";"Herr";"Sehr geehrte/r Herr Beispiel";;"Beispiel";"Andreas";"andreas.beispiel@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Beispielstraße 1";"privat";"Mutter";"0123-1102028";"0123-1102028"
1015;"Frau";"Sehr geehrte/r Frau Probstmeier";;"Probstmeier";"Gabriele";"gabriele.probstmeier@example.com";"Herr";"Sehr geehrte/r Herr Probstmeier";;"Probstmeier";"Norbert";"norbert.probstmeier@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probstmeierstraße 1";"privat";"Mutter";"0123-1102030";"0123-1102030"
1016;"Frau";"Sehr geehrte/r Frau Demonstrant";;"Demonstrant";"Birgit";"birgit.demonstrant@example.com";"Herr";"Sehr geehrte/r Herr Demonstrant";;"Demonstrant";"Stefan";"stefan.demonstrant@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demonstrantstraße 1";"privat";"Mutter";"0123-1102032";"0123-1102032"
1017;"Frau";"Sehr geehrte/r Frau Musterstein";;"Musterstein";"Elke";"elke.musterstein@example.com";"Herr";"Sehr geehrte/r Herr Musterstein";;"Musterstein";"Frank";"frank.musterstein@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Mustersteinstraße 1";"privat";"Mutter";"0123-1102034";"0123-1102034"
1018;"Frau";"Sehr geehrte/r Frau Testmeier";;"Testmeier";"Franziska";"franziska.testmeier@example.com";;;;;;;E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Testmeierstraße 1";"privat";"Mutter";"0123-1102036";"0123-1102036"
1019;"Frau";"Sehr geehrte/r Frau Musterhuber";;"Musterhuber";"Sabine";"sabine.musterhuber@example.com";"Herr";"Sehr geehrte/r Herr Musterhuber";;"Musterhuber";"Ingo";"ingo.musterhuber@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterhuberstraße 1";"privat";"Mutter";"0123-1102038";"0123-1102038"
1020;"Frau";"Sehr geehrte/r Frau Beispiel";;"Beispiel";"Franziska";"franziska.beispiel@example.com";"Herr";"Sehr geehrte/r Herr Beispiel";;"Beispiel";"Lutz";"lutz.beispiel@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Beispielstraße 1";"privat";"Mutter";"0123-1102040";"0123-1102040"
1021;"Frau";"Sehr geehrte/r Frau Musterbach";;"Musterbach";"Irene";"irene.musterbach@example.com";"Herr";"Sehr geehrte/r Herr Musterbach";;"Musterbach";"Stefan";"stefan.musterbach@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterbachstraße 1";"privat";"Mutter";"0123-1102042";"0123-1102042"
1022;"Frau";"Sehr geehrte/r Frau Musterling";;"Musterling";"Doris";"doris.musterling@example.com";"Herr";"Sehr geehrte/r Herr Musterling";;"Musterling";"Rolf";"rolf.musterling@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Musterlingstraße 1";"privat";"Mutter";"0123-1102044";"0123-1102044"
1023;"Frau";"Sehr geehrte/r Frau Probemann";;"Probemann";"Anna";"anna.probemann@example.com";"Herr";"Sehr geehrte/r Herr Probemann";;"Probemann";"Bernd";"bernd.probemann@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Probemannstraße 1";"privat";"Mutter";"0123-1102046";"0123-1102046"
1024;"Frau";"Sehr geehrte/r Frau Demoschüler";;"Demoschüler";"Vera";"vera.demoschueler@example.com";"Herr";"Sehr geehrte/r Herr Demoschüler";;"Demoschüler";"Udo";"udo.demoschueler@example.com";E;"Erziehungsberechtigter";J;"Musterstadt";;"12345";"Demoschülerstraße 1";"privat";"Mutter";"0123-1102048";"0123-1102048"
