Interne ID-Nummer;Nachname;Vorname;Klasse;Klassenlehrer;Geburtsdatum;Geschlecht;vorauss. Abschlussdatum;Aufnahmedatum;Entlassdatum;Volljährig;Schulpflicht erfüllt;Status;Straße;Ortsname;Postleitzahl;Telefon-Nr.;Fax-Nr.;E-Mail (privat)
1001;Sampleberg;Viktor;BK01A;Müller;21.02.2007;M;30.06.2027;01.08.2024;;Ja;Ja;2;Sample-Park 147;Musterstadt;12345;0123-1001001;;viktor.sampleberg@example.com
1002;Demoschüler;Felix;BK01A;Müller;27.02.2005;M;30.06.2027;01.08.2024;;Ja;Ja;2;Beispielplatz 174;Musterstadt;12345;0123-1001002;;felix.demoschueler@example.com
1003;Probeberg;Charlotte;BK01A;Müller;21.02.2007;W;30.06.2027;01.08.2024;;Ja;Ja;2;Teststraße 143;Musterstadt;12345;0123-1001003;;charlotte.probeberg@example.com
1004;Musterstein;Bella;BK01A;Müller;12.08.2005;W;30.06.2027;01.08.2024;;Ja;Ja;2;Testheimstraße 150;Musterstadt;12345;0123-1001004;;bella.musterstein@example.com
1005;Sampleberg;Diana;BK01A;Müller;28.07.2005;W;30.06.2027;01.08.2024;;Ja;Ja;2;Beispielplatz 132;Musterstadt;12345;0123-1001005;;diana.sampleberg@example.com
1006;Musterstein;David;BK01A;Müller;22.02.2007;M;30.06.2027;01.08.2024;;Ja;Ja;2;Sample-Park 121;Musterstadt;12345;0123-1001006;;david.musterstein@example.com
1007;Musterstein;Johanna;BK01A;Müller;09.09.2007;W;30.06.2027;01.08.2024;;Ja;Ja;2;Musterbachstraße 141;Musterstadt;12345;0123-1001007;;johanna.musterstein@example.com
1008;Testmeier;Tim;BK01A;Müller;02.03.2003;M;30.06.2027;01.08.2024;;Ja;Ja;2;Musterring 134;Musterstadt;12345;0123-1001008;;tim.testmeier@example.com
1009;Sampleberg;Inga;BK01A;Müller;26.07.2006;W;30.06.2027;01.08.2024;;Ja;Ja;2;Beispielweg 75;Musterstadt;12345;0123-1001009;;inga.sampleberg@example.com
1010;Demo;Hanna;BK01A;Müller;27.12.2006;W;30.06.2027;01.08.2024;;Ja;Ja;2;Teststraße 167;Musterstadt;12345;0123-1001010;;hanna.demo@example.com
1011;Probstmeier;Julia;BK01A;Müller;03.01.2003;W;30.06.2027;01.08.2024;;Ja;Ja;2;Teststraße 157;Musterstadt;12345;0123-1001011;;julia.probstmeier@example.com
1012;Beispielson;Zoe;BK01A;Müller;11.11.2003;W;30.06.2027;01.08.2024;;Ja;Ja;2;Beispielplatz 177;Musterstadt;12345;0123-1001012;;zoe.beispielson@example.com
1013;Musterhuber;Ingo;BK01A;Müller;14.11.2003;M;30.06.2027;01.08.2024;;Ja;Ja;2;Musterallee 151;Musterstadt;12345;0123-1001013;;ingo.musterhuber@example.com
1014;Beispiel;Andreas;BK01A;Müller;13.02.2003;M;30.06.2027;01.08.2024;;Ja;Ja;2;Probierweg 166;Musterstadt;12345;0123-1001014;;andreas.beispiel@example.com
